LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000837051-0001-5,DAVID HAN,TASTY'S DONUT,18521 BURBANK BLVD,TARZANA,91356-2601,18521 BURBANK 91356-2601,,,,722110,Full-service restaurants,3,02/01/2003,,"(34.1723, -118.5364)"
0000085563-0001-2,RAFAEL RUIZ MADRIGAL,EL INDIO RESTAURANT,13403 VAN NUYS BLVD,PACOIMA,91331-3008,13403 VAN NUYS 91331-3008,,,,722110,Full-service restaurants,7,09/15/1993,,"(34.2641, -118.4246)"
0000411527-0004-9,FRUCTUOSO SERNAS LOPEZ,GEO'S ORGANIC COFFEE & FINE TEA,4510 INGLEWOOD BLVD,LOS ANGELES,90230-5857,4510 INGLEWOOD 90230-5857,,,,722110,Full-service restaurants,11,01/18/2011,,"(33.9947, -118.4175)"
0000383580-0001-8,LY NOGN LIM,CREAM DONUTS,15707 1/2 VANOWEN STREET,VAN NUYS,91406-5030,15707 VANOWEN 91406-5030,,,,722110,Full-service restaurants,6,12/01/2003,,"(34.1939, -118.475)"
0000797282-0001-0,M S PIZZA INC,DOMINOS PIZZA,5401 S FIGUEROA STREET #8,LOS ANGELES,90037-3760,5401 FIGUEROA 90037-3760,15198 DOWNEY AVENUE,PARAMOUNT,90723-4594,722110,Full-service restaurants,9,07/19/1990,,"(33.9932, -118.2826)"
0002535022-0001-7,GABY'S CORP,GABY'S CAFE,3129 W 8TH STREET,LOS ANGELES,90005-1902,3129 8TH 90005-1902,,,,722110,Full-service restaurants,10,12/08/2010,,"(34.0577, -118.2952)"
0002979309-0001-2,CH KINGSLEY LLC,PALM TREE LA,3109 W OLYMPIC BLVD   FLOOR #2,LOS ANGELES,90006-2665,3109 OLYMPIC 90006-2665,3109 W OLYMPIC BLVD   FLOOR #2,LOS ANGELES,90006-2665,722110,Full-service restaurants,10,04/01/2017,,"(34.0529, -118.3035)"
0000026670-0004-4,C G INVESTMENTS INC,SUBWAY #39683 | SUBWAY 39683,6006 LANKERSHIM BLVD,NORTH HOLLYWOOD,91606-4806,6006 LANKERSHIM 91606-4806,7755 HASKELL AVENUE,VAN NUYS,91406-1906,722110,Full-service restaurants,2,10/04/2007,,"(34.1795, -118.3834)"
0002860712-0001-0,TASTY CHICKEN INC,,16101 VENTURA BLVD SUITE #101,ENCINO,91436-2508,16101 VENTURA 91436,16101 VENTURA BLVD SUITE #101,ENCINO,91436-2508,722110,Full-service restaurants,5,10/01/2015,,"(34.1563, -118.4836)"
0000824373-0002-6,TADASHI MURAKAMI,MURAKAMI,7160 MELROSE AVENUE,LOS ANGELES,90046-7626,7160 MELROSE 90046-7626,918 N VISTA STREET,LOS ANGELES,90046-6610,722110,Full-service restaurants,5,05/01/2009,,"(34.0834, -118.3453)"
0002447365-0001-5,BILLY PARKPOOM JALANUGRAHA,WAT DONG MOON LEK,4356 FOUNTAIN AVENUE,LOS ANGELES,90029-2226,4356 FOUNTAIN 90029-2226,9354 BURNET AVENUE UNIT #107,NORTH HILLS,91343-7915,722110,Full-service restaurants,13,06/28/2009,,"(34.0958, -118.2847)"
0002744551-0001-4,LUIS ANTONIO MEDINA,EL HERMANO CENTRO AMERICANO RESTAURANT,3419 VENICE BLVD,LOS ANGELES,90019-6116,3419 VENICE 90019-6116,,,,722110,Full-service restaurants,10,01/24/2011,,"(34.0435, -118.3215)"
0000848002-0001-5,MARTIN N JAIME/ELMA CISNEROS,JENNY BAKERY,4518 AVALON BLVD,LOS ANGELES,90011-5629,4518 AVALON 90011-5629,,,,722110,Full-service restaurants,9,03/01/2003,,"(34.0023, -118.2652)"
0002404558-0001-4,CARLOS PEREZ,TACOS EL PIQUE,1202 E 1ST STREET,LOS ANGELES,90033-3216,1202 1ST 90033-3216,,,,722110,Full-service restaurants,14,08/29/2008,,"(34.0476, -118.2277)"
0002868043-0001-6,SIAMESE ORCHIDS LLC,SIAMESE GARDEN,301 WASHINGTON BLVD,MARINA DEL REY,90292-5129,301 WASHINGTON 90292-5129,,,,722110,Full-service restaurants,11,07/01/2015,,"(33.9803, -118.4646)"
0003182142-0001-5,"MASTRO'S OC FIG LA, INC.",MASTRO'S OCEAN CLUB,1200 S FIGUEROA STREET,LOS ANGELES,90015-1392,1200 FIGUEROA 90015,1510   WEST LOOP S,HOUSTON,77027-9505,722110,Full-service restaurants,14,11/01/2020,,"(34.0418, -118.2664)"
0002857008-0001-1,MARISCOS EL CARACOL RESTAURANT INC,MARISCOS ENSENADA,13110 VAN NUYS BLVD,PACOIMA,91331-2558,13110 VAN NUYS 91331-2558,,,,722110,Full-service restaurants,7,09/24/2015,,"(34.2687, -118.4184)"
0000256968-0001-7,SUVIT/ROONGRUANG SIRIKULBUT,TACO FIESTA,4501 N FIGUEROA STREET,LOS ANGELES,90065-3026,4501 FIGUEROA 90065-3026,,,,722110,Full-service restaurants,1,07/01/1973,,"(34.0961, -118.2071)"
0003188614-0001-8,7235 BEVERLY TACOS LLC,TACOS 1986 BEVERLY,7235 BEVERLY BLVD,LOS ANGELES,90036-2536,7235 Beverly 90036-2536,1709 WILCOX AVENUE,LOS ANGELES,90028-5103,722110,Full-service restaurants,5,04/01/2020,,"(34.0763, -118.347)"
0002643997-0001-6,PRESTO PASTA GRANADA HILLS INC,PRESTO PASTA,17923 CHATSWORTH STREET,GRANADA HILLS,91344-5606,17923 CHATSWORTH 91344-5606,5722 TELEPHONE ROAD SUITE #10,VENTURA,93003-5319,722110,Full-service restaurants,12,01/15/2012,,"(34.2649, -118.5238)"
0002371086-0001-2,WILSON PITRUZZELLI INVESTMENTS LLC,WURSTKUCHE,800 E 3RD STREET,LOS ANGELES,90013-1820,800 3RD 90013-1820,,,,722110,Full-service restaurants,14,10/21/2008,,"(34.0457, -118.2364)"
0002708972-0001-2,LOCAL PIE LLC,THE DOUGHROOM,3409 OVERLAND AVENUE,LOS ANGELES,90034-5405,3409 OVERLAND 90034-5405,,,,722110,Full-service restaurants,5,10/01/2013,,"(34.0259, -118.4125)"
0000315718-0001-5,EL TAURINO RESTAURANT INC,EL TAURINO RESTAURANT,2336 W 11TH STREET,LOS ANGELES,90006-2010,2336 11TH 90006-2010,,,,722110,Full-service restaurants,1,06/14/1980,,"(34.0514, -118.2833)"
0000441893-0001-5,"SAMMY'S DONUTS AND ICE CREAM, INC.",SAMMY'S GOODIES,4400 1/2 AVALON BLVD,LOS ANGELES,90011-5695,4400 AVALON 90011-5695,,,,722110,Full-service restaurants,9,01/01/1997,,"(34.0038, -118.2652)"
0002104599-0003-3,HAGOP MIRZOYAN,,17933 VENTURA BLVD,ENCINO,91316-3618,17933 VENTURA 91316-3618,,,,722110,Full-service restaurants,5,12/01/2010,,"(34.1637, -118.5225)"
0003170992-0001-8,LARRABEE LANKERSHIM LLC,VERSE,4212 LANKERSHIM BLVD,N HOLLYWOOD,91602-2855,4212 LANKERSHIM 91602-2855,,,,722110,Full-service restaurants,4,12/30/2019,,
0000267458-0006-7,"SENIOR CLASSIC LEASING, LLC",CARLS JR RESTAURANT#7366,19305 VICTORY BLVD,TARZANA,91335-6302,19305 VICTORY 91335-6302,1 CENTERPOINTE DRIVE SUITE #400,LA PALMA,90623-2530,722110,Full-service restaurants,3,11/27/2000,,"(34.1865, -118.5538)"
0003186353-0001-9,SMILE THAI INC,SMILE THAI,1605   PACIFIC COAST HIGHWAY   UNIT #106,HARBOR CITY,90710-2600,1605 PACIFIC COAST 90710-2600,,,,722110,Full-service restaurants,15,03/01/2020,,"(33.7899, -118.3047)"
0003188752-0001-1,SAAM & SYDA GRILL,FRESH GRILL,8245 WOODMAN AVENUE,PANORAMA CITY,91402-5426,8245 Woodman 91402-5426,,,,722110,Full-service restaurants,6,03/11/2020,,"(34.2205, -118.4327)"
0003186691-0001-9,JENNIFER PORTOCARERO,PAPKUNA PERUVIAN CUISINE,15030 VENTURA BLVD    #24,SHERMAN OAKS,91403-2444,15030 Ventura 91403-2444,,,,722110,Full-service restaurants,4,11/01/2019,,"(34.1525, -118.4608)"
0000554785-0002-4,STARBUCKS CORPORATION,STARBUCKS #11233,523 W 6TH STREET #R533S,LOS ANGELES,90014-1217,523 6TH 90014-1217,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,14,01/26/2007,,"(34.0482, -118.2543)"
0000833172-0001-6,CDS INVESTMENTS INC,TAL'S CAFE,2701 W FLORENCE AVENUE,LOS ANGELES,90043-5139,2701 FLORENCE 90043-5139,2701 W FLORENCE AVENUE,LOS ANGELES,90043-5139,722110,Full-service restaurants,8,02/06/2003,,"(33.9745, -118.3226)"
0002686374-0001-3,NARA MEDITERRANEAN BISTRO & LOUNGE,,17970 VENTURA BLVD,ENCINO,91316-3632,17970 VENTURA 91316-3632,,,,722110,Full-service restaurants,5,06/01/2013,,"(34.1642, -118.5238)"
0000026670-0036-2,C G INVESTMENTS INC,SUBWAY #52104,3183 WILSHIRE BLVD UNIT #184,LOS ANGELES,90010-1280,3183 WILSHIRE 90010-1280,7755 HASKELL AVENUE,VAN NUYS,91406-1906,722110,Full-service restaurants,10,03/07/2012,,"(34.0617, -118.2911)"
0000631495-0001-6,N & D RESTAURANTS INC,THE OLIVE GARDEN ITALIAN RESTAURANT #79,19724 NORDHOFF PLACE,CHATSWORTH,91311-6605,19724 NORDHOFF 91311-6605,POST OFFICE BOX #695016,ORLANDO,32869-5016,722110,Full-service restaurants,12,01/01/1988,,"(34.2354, -118.5631)"
0002575560-0001-9,ENA H VALLE LANDAVERDE,LOS REMOS,10345 LAUREL CANYON BLVD,PACOIMA,91331-3753,10345 LAUREL CANYON 91331-3753,13185 BRYSON STREET,ARLETA,91331-4953,722110,Full-service restaurants,7,09/01/2011,,"(34.2581, -118.4314)"
0002608194-0001-8,VISAL SOY,PANDA KING,1027 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90037-1816,1027 MARTIN LUTHER KING JR 90037-1816,,,,722110,Full-service restaurants,9,03/01/2012,,"(34.0108, -118.2932)"
0002955217-0001-7,GOSHEN CUISINE,,2752 EL DORADO STREET,TORRANCE,90503-6077,2752 EL DORADO 90503-6077,,,,722110,Full-service restaurants,0,01/01/2017,,"(33.8341, -118.3348)"
0002196151-0002-3,MARTIN CHAVEZ,TACOS EL COSAS,21915 DEVONSHIRE STREET,CHATSWORTH,91311-2908,21915 DEVONSHIRE 91311-2908,,,,722110,Full-service restaurants,12,04/01/2011,,"(34.2572, -118.6051)"
0000357334-0001-1,"CHI'S CHINESE CUISINE, INC",CHI'S CHINESE CUISINE,9635 RESEDA BLVD,NORTHRIDGE,91324-2018,9635 RESEDA 91324-2018,,,,722110,Full-service restaurants,12,06/01/1996,,"(34.2455, -118.536)"
0002746264-0001-1,"THE BIG FISH HOUSE, LLC",THE FISH HOUSE,16101 VENTURA BLVD SUITE #100,ENCINO,91436-2508,16101 VENTURA 91436-2508,,,,722110,Full-service restaurants,5,04/14/2014,,"(34.1563, -118.4836)"
0002661796-0001-3,JL RICE LLC,,3101 W OLYMPIC BLVD,LOS ANGELES,90006-2413,3101 OLYMPIC 90006-2413,,,,722110,Full-service restaurants,10,10/01/2012,,"(34.0526, -118.3031)"
0002998051-0008-2,"SSP AMERICA LAX, LLC",CASSELL'S HAMBURGERS,100 WORLD WAY SUITE #T148,LOS ANGELES,90045-5870,100 WORLD 90045-5870,20408 BASHAN DRIVE SUITE #300,ASHBURN,20147-5553,722110,Full-service restaurants,11,08/25/2018,,"(33.9461, -118.401)"
0002605410-0001-3,ASIA BUFFET OF BP INC,ASIA BUFFET,8220 VAN NUYS BLVD,PANORAMA CITY,91402-4805,8220 VAN NUYS 91402-4805,,,,722110,Full-service restaurants,6,03/01/2012,,"(34.2201, -118.4487)"
0002507921-0001-1,SIMPLETHINGS 3RD ST LLC,SIMPLETHINGS RESTAURANT GROUP LLC,8310 W 3RD STREET,LOS ANGELES,90048-4311,8310 3RD 90048-4311,8310 W 3RD STREET,LOS ANGELES,90048-4311,722110,Full-service restaurants,5,06/15/2010,,"(34.0726, -118.3702)"
0003182491-0001-3,SAGASTUME BAR INC,MI TIERRA SPORTS BAR,7144 FOOTHILL BLVD,TUJUNGA,91042-2717,7144 Foothill 91042-2717,,,,722110,Full-service restaurants,7,02/01/2020,,"(34.248, -118.2876)"
0002740893-0001-3,MIDICI LLC,MIDICI NAPOLITANA,14612 VENTURA BLVD,SHERMAN OAKS,91403-3616,14612 VENTURA 91403-3616,20631   VENTURA BLVD   SUITE #200,WOODLAND HILLS,91364-2367,722110,Full-service restaurants,4,09/18/2013,,"(34.1513, -118.4515)"
0003076976-0001-7,"PRESIDENTE III, LLC",,18441   DEVONSHIRE STREET,NORTHRIDGE,91325-1007,18441 DEVONSHIRE 91325-1007,12239 FOOTHILL BLVD,SYLMAR,91342-6002,722110,Full-service restaurants,12,10/01/2018,,"(34.2576, -118.5354)"
0002735572-0001-7,UNCLE J'S INC,SMALL TOWN RESTAURANT,2764 ROWENA AVENUE,LOS ANGELES,90039-2721,2764 ROWENA 90039-2721,,,,722110,Full-service restaurants,4,05/01/2014,,"(34.1074, -118.2642)"
0002408637-0001-0,SUB DEE INC,RED GINGER,22984 VENTURA BLVD,WOODLAND HILLS,91364-1205,22984 VENTURA 91364-1205,,,,722110,Full-service restaurants,3,02/01/2009,,"(34.1647, -118.6271)"
0000294885-0001-3,BENJAMIN M RODRIGUEZ,RODRIGUEZ BAR/POOL HALL,702 N AVALON BLVD,WILMINGTON,90744-5809,702 AVALON 90744-5809,,,,722110,Full-service restaurants,15,10/01/1974,,"(33.7785, -118.2623)"
0002723650-0001-8,SIMPLETHINGS NUMBER 2 LLC,SIMPLETHINGS RESTAURANT GROUP LLC,10874 KINROSS AVENUE,LOS ANGELES,90024-3410,10874 KINROSS 90024-3410,,,,722110,Full-service restaurants,5,01/16/2014,,"(34.0607, -118.4453)"
0000239637-0030-0,EL POLLO LOCO INC,EL POLLO LOCO #5983,5319 W SUNSET BLVD,LOS ANGELES,90027-5611,5319 SUNSET 90027-5611,3535 HARBOR BLVD SUITE #100,COSTA MESA,92626-1494,722110,Full-service restaurants,13,11/19/2001,,"(34.0981, -118.3058)"
0003095168-0004-7,"FM RESTAURANTS EL TORITO OPCO, LLC",,13715 FIJI WAY,MARINA DEL REY,90292-6909,13715 FIJI 90292-6909,11065 KNOTT AVENUE SUITE #A,CYPRESS,90630-5149,722110,Full-service restaurants,0,11/05/2018,,
0003181924-0001-5,"NIGHT MARKET 2, INC",SONG,3322 W SUNSET BLVD,LOS ANGELES,90026-2118,3322 SUNSET 90026,3322 W SUNSET BLVD,LOS ANGELES,90026-2118,722110,Full-service restaurants,13,01/01/2020,,"(34.0869, -118.2759)"
0000035399-0001-2,3 VENEZIE L P,CA DEL SOLE,4100 CAHUENGA BLVD,TOLUCA LAKE,91602-2831,4100 CAHUENGA 91602-2831,,,,722110,Full-service restaurants,4,02/01/1994,,"(34.1436, -118.3614)"
0002854288-0001-4,SG BREWHOUSE LLC,ARTS DISTRICT BREWING COMPANY,808 TRACTION AVENUE,LOS ANGELES,90013-1845,808 TRACTION 90013-1845,515 W 7TH STREET SUITE #300,LOS ANGELES,90014-2500,722110,Full-service restaurants,14,09/15/2015,,"(34.0451, -118.2357)"
0002801628-0001-1,"TANG CAPITAL, INC.",TWIN DRAGON RESTAURANT,8597 W PICO BLVD,LOS ANGELES,90035-2412,8597 PICO 90035-2412,24902 HOLLOW CIRCLE,LAGUNA NIGUEL,92677-6026,722110,Full-service restaurants,5,01/01/2015,,"(34.0536, -118.3781)"
0003184290-0001-7,CRISTIAN JAMES FARROW,WHISKEY FLATS CAFE,3401 S PACIFIC AVENUE,SAN PEDRO,90731-6809,3401 Pacific 90731-6809,3412 S KERCKHOFF AVENUE,SAN PEDRO,90731-6806,722110,Full-service restaurants,15,03/01/2020,,"(33.7132, -118.2883)"
0000117693-0001-7,SEVEN SEVENTEEN INC,INTERNATIONAL HOUSE OF PANCAKES,3165 W 6TH STREET,LOS ANGELES,90020-1708,3165 6TH 90020-1708,,,,722110,Full-service restaurants,10,02/28/1994,,"(34.0636, -118.2904)"
0000406919-0001-2,STARLIGHT MAGNEX CORP,KUSHI-SHABU,123 ASTRONAUT E S ONIZUKA STREET #305,LOS ANGELES,90012-3846,123 ASTRONAUT E S ONIZUKA 90012-3846,,,,722110,Full-service restaurants,14,10/01/1996,,"(34.0505, -118.2419)"
0003185589-0001-6,NEW PIPES INC,KRACK N KRAB,222 N WESTERN AVENUE,LOS ANGELES,90004-4108,222 Western 90004-4108,,,,722110,Full-service restaurants,10,02/28/2020,,"(34.0756, -118.3088)"
0000407033-0001-6,HAROUT H KHORKHORYAN,HARRY'S GOLDEN GRILL,16067 VANOWEN STREET,VAN NUYS,91406-4810,16067 VANOWEN 91406-4810,,,,722110,Full-service restaurants,6,05/01/2001,,"(34.1939, -118.4828)"
0002633808-0001-3,AYONES INC,EL BUCA RESTAURANT,4501 S ALAMEDA STREET UNIT #J-2,VERNON,90058-2010,4501 ALAMEDA 90058-2010,2615 MICHIGAN AVENUE,LOS ANGELES,90033-3521,722110,Full-service restaurants,0,08/01/2012,,"(34.0027, -118.239)"
0002554477-0001-6,JVP SUSHI & TERIYAKI INC,SUSHI & TERI,116 JAPANESE VILLAGE PLAZA MALL,LOS ANGELES,90012-3909,116 JAPANESE VILLAGE PLAZA 90012-3909,804 S LUCERNE BLVD,LOS ANGELES,90005-3708,722110,Full-service restaurants,9,01/01/2011,,"(34.0491, -118.2399)"
0000036779-0001-5,WILLIAM FOX,TOP DOG HOT DOG,19555 LEMARSH STREET,NORTHRIDGE,91324-1010,19555 LEMARSH 91324-1010,,,,722110,Full-service restaurants,12,08/20/2003,,"(34.2554, -118.5588)"
0000768516-0001-5,BLANCA P ESTRADA,,12058 SATICOY STREET,N HOLLYWOOD,91605-2775,12058 SATICOY 91605-2775,,,,722110,Full-service restaurants,2,05/02/1990,,"(34.2084, -118.3958)"
0003181520-0001-4,DISKO INC,SEASIDE HOLDINGS LP,4459 AVOCADO STREET SUITE #4,LOS ANGELES,90027-2104,4459 AVOCADO 90027-2104,,,,722110,Full-service restaurants,4,07/01/2019,,
0003184789-0001-5,GAROS DELI LLC,GARO'S DELI,659 S BROADWAY     SUITE #GL106,LOS ANGELES,90014-1832,659 BROADWAY 90014,1443 E WASHINGTON BLVD   SUITE #158,PASADENA,91104-2650,722110,Full-service restaurants,14,03/01/2020,,"(34.0455, -118.2532)"
0003177934-0001-6,TEERAPORN. INC,JAOPAYA THAI RESTAURANT,7321 RESEDA BLVD,RESEDA,91335-3048,7321 RESEDA 91335-3048,7321 RESEDA BLVD,RESEDA,91335-3048,722110,Full-service restaurants,3,03/01/2019,,"(34.2036, -118.5365)"
0003095168-0002-1,"FM RESTAURANTS EL TORITO OPCO, LLC",,6040   CANOGA AVENUE,WOODLAND HILLS,91367-3701,6040 CANOGA 91367-3701,11065 KNOTT AVENUE SUITE #A,CYPRESS,90630-5149,722110,Full-service restaurants,3,11/05/2018,,"(34.1805, -118.597)"
0003183749-0001-3,9292 BBQ CAFE,,695 S VERMONT AVENUE    #110,LOS ANGELES,90005-1349,695 Vermont 90005-1349,3010 WILSHIRE BLVD #543,LOS ANGELES,90010-1103,722110,Full-service restaurants,10,12/23/2019,,"(34.06, -118.2918)"
0002437610-0001-2,MARINA MILLAN,TACOS EL PAISITA,8951 SAN LUIS AVENUE,SOUTH GATE,90280-3125,8951 SAN LUIS 90280-3125,15504 S ATLANTIC AVENUE,COMPTON,90221-4237,722110,Full-service restaurants,0,12/26/2008,,"(33.9523, -118.2004)"
0002537524-0001-1,CAFE GRATITUDE LARCHMONT LLC,,639 N LARCHMONT BLVD,LOS ANGELES,90004-1310,639 LARCHMONT 90004-1310,,,,722110,Full-service restaurants,4,02/14/2011,,"(34.0823, -118.3236)"
0002774343-0001-2,HAYWORTH RESTAURANT GROUP LLC,,2501 WILSHIRE BLVD,LOS ANGELES,90057-4302,2501 WILSHIRE 90057-4302,1888 CENTURY PARKS  E SUITE #900,LOS ANGELES,90067-1735,722110,Full-service restaurants,1,08/13/2014,,"(34.06, -118.2805)"
0003182360-0001-0,Z FALAFEL JONATHAN INC,,806 W 8TH STREET UNIT #A,LOS ANGELES,90017-4606,806 8th 90017-4606,,,,722110,Full-service restaurants,14,03/10/2020,,"(34.0473, -118.2603)"
0003187091-0001-7,ENVU LLC,TACOS LA CALLE,2040 COLORADO BLVD,EAGLE ROCK,90041-1248,2040 COLORADO 90041-1248,,,,722110,Full-service restaurants,14,03/01/2020,,"(34.139, -118.2118)"
0003184936-0001-0,ROOT OF ALL FOOD LLC,,765 WALL STREET,LOS ANGELES,90014-2315,765 WALL 90014-2315,,,,722110,Full-service restaurants,14,01/01/2019,,"(34.0406, -118.2503)"
0002195166-0001-4,T & C SOLUTION,CALIFORNIA ROLL & SUSHI  FISH,125 N LARCHMONT BLVD,LOS ANGELES,90004-3704,125 LARCHMONT 90004-3704,,,,722110,Full-service restaurants,4,11/01/2006,,"(34.0734, -118.3236)"
0003188517-0001-3,AMAZING WINGS INC,AMAZING WINGS INC WINGSTOP #1638,2189 WHITTIER BLVD,LOS ANGELES,90023-1250,2189 Whittier 90023-1250,1468 GLEN PINES COURT,CHINO HILLS,91709-6204,722110,Full-service restaurants,14,03/10/2020,,"(34.0361, -118.2192)"
0002619289-0001-9,678 INC,BAEK JEONG,3465 W 6TH STREET UNIT #20,LOS ANGELES,90020-2567,3465 6TH 90020-2567,,,,722110,Full-service restaurants,10,02/02/2012,,"(34.0635, -118.2969)"
0000357395-0001-8,778 INC,IHOP #778,22810 VANOWEN STREET,WEST HILLS,91307-2532,22810 VANOWEN 91307-2532,,,,722110,Full-service restaurants,12,07/01/1996,,"(34.1937, -118.6237)"
0002568140-0001-4,ALBERT HWANG,ORANGE TREE CAFE,3500 W 6TH STREET #220,LOS ANGELES,90020-5803,3500 6TH 90020-5803,,,,722110,Full-service restaurants,10,07/20/2011,,"(34.0635, -118.2979)"
0003082178-0001-8,THAI TASTY,,15023   ROSCOE BLVD,PANORAMA CITY,91402-4512,15023 ROSCOE 91402-4512,,,,722110,Full-service restaurants,6,10/22/2018,,"(34.2216, -118.4606)"
0000527552-0001-8,SANTIAGO PARRA,MEL'S PRODUCE,2056 S GARTH AVENUE,LOS ANGELES,90034-1508,2056 GARTH 90034-1508,,,,722110,Full-service restaurants,10,04/01/2004,,"(34.0396, -118.3794)"
0002285122-0001-1,SABOR Y CULTURA INC,SABOR Y CULTURA,5625 HOLLYWOOD BLVD,LOS ANGELES,90028-6813,5625 HOLLYWOOD 90028-6813,,,,722110,Full-service restaurants,13,10/25/2007,,"(34.1017, -118.3122)"
0002642800-0001-6,HYPERION PUBLIC CAPITAL LP,HYPERION PUBLIC,2538 HYPERION AVENUE,LOS ANGELES,90027-3305,2538 HYPERION 90027-3305,,,,722110,Full-service restaurants,4,10/01/2012,,"(34.1054, -118.2728)"
0003245101-0001-8,COURAGE#13 CORPORATION,MAR Y TIERRA TACO FISH,16026   PIONEER BLVD,NORWALK,90650-7176,16026 PIONEER 90650,16026   PIONEER BLVD,NORWALK,90650-7176,722110,Full-service restaurants,0,02/10/2021,,"(33.8855, -118.0822)"
0002261007-0001-6,OSCAR MARTINEZ,,7548 LANKERSHIM BLVD,N HOLLYWOOD,91605-2804,7548 LANKERSHIM 91605-2804,,,,722110,Full-service restaurants,2,05/05/2007,,"(34.2075, -118.3877)"
0003187671-0001-9,MARISCOS LA DONA CORPORATION,LA DONA TAQUERIA Y COCTELERIA,1015 WALL STREET SUITE #123,LOS ANGELES,90015-2392,1015 WALL 90015-2392,2201 S SAN PEDRO STREET   SUITE #D,LOS ANGELES,90011-1158,722110,Full-service restaurants,14,03/06/2020,,"(34.0374, -118.2538)"
0002851884-0001-3,NEXTGEN DINING GROUP INC,JERSEY MIKE'S SUBS,5453 HOLLYWOOD BLVD SUITE #B,LOS ANGELES,90027-3467,5453 HOLLYWOOD 90027-3467,317 N WESTRIDGE AVENUE,COVINA,91724-2922,722110,Full-service restaurants,13,08/31/2015,,"(34.1017, -118.3083)"
0000934936-0002-6,BUDNAMU USA INC,BUD NAMU BBQ HOUSE,809 S ARDMORE AVENUE,LOS ANGELES,90005-2411,809 ARDMORE 90005-2411,,,,722110,Full-service restaurants,10,12/10/2011,,"(34.0575, -118.3019)"
0003188571-0001-8,FLORIM ZEQIRI,CHICAGO STUFFED PIZZA CO,7965 MELROSE AVENUE,LOS ANGELES,90046-7118,7965 MELROSE 90046-7118,,,,722110,Full-service restaurants,5,03/10/2020,,
0002537644-0001-7,ARMANDO DE LA TORRE,GUISADOS,2100 E CESAR E CHAVEZ AVENUE,LOS ANGELES,90033-1823,2100 CESAR E CHAVEZ 90033-1823,,,,722110,Full-service restaurants,14,01/11/2011,,"(34.0484, -118.2114)"
0003182883-0001-1,BENJAMIN VENTURA MORENO,AJI PERUVIAN CUISINE,20905 LASSEN STREET,CHATSWORTH,91311-4285,20905 Lassen 91311-4285,,,,722110,Full-service restaurants,12,02/21/2020,,"(34.2501, -118.5888)"
0003185029-0001-3,GENTLE CHIC GALLERIA INC,,10201   RESEDA BLVD   UNIT #101,NORTHRIDGE,91324-5011,10201 RESEDA 91324,3435   WILSHIRE BLVD   SUITE #460,LOS ANGELES,90010-1918,722110,Full-service restaurants,12,01/01/2020,,"(34.2562, -118.5371)"
0002542507-0001-8,EDVIN PIRVERDIAN,HEAVYWEIGHT CONSTRUCTION,6051 VARNA AVENUE,VALLEY GLEN,91401-3022,6051 VARNA 91401-3022,6051 VARNA AVENUE,VAN NUYS,91401-3022,722110,Full-service restaurants,2,02/11/2011,,"(34.1806, -118.4247)"
0002703633-0001-1,ANN INVESTMENT INC,SEOUL GARDEN RESTAURANT,1833 W OLYMPIC BLVD,LOS ANGELES,90006-3701,1833 OLYMPIC 90006-3701,,,,722110,Full-service restaurants,1,09/25/2013,,"(34.0503, -118.2768)"
0000110571-0001-1,MWR CONSTRUCTION SERVICES INC,SOLO CONSTRUCTION,6540 BALBOA BLVD,VAN NUYS,91406-5527,6540 BALBOA 91406-5527,,,,722110,Full-service restaurants,6,03/15/1994,,"(34.1896, -118.5011)"
0002548288-0001-1,BALDWIN HOLDINGS INC,POST & BEAM RESTAURANT,3767 SANTA ROSALIA DRIVE,LOS ANGELES,90008-3603,3767 SANTA ROSALIA 90008-3603,31596   VIA CRUZADA,SAN JUAN CAPISTRANO,92675-3331,722110,Full-service restaurants,8,01/01/2011,,"(34.0098, -118.3394)"
0003183820-0001-3,CESAR AMANTES JIMENEZ,MONTE CARLO CAFE,109 E 5TH STREET,LOS ANGELES,90013-1415,109 5th 90013-1415,6009 FOSTORIA STREET,BELL GARDENS,90201-6230,722110,Full-service restaurants,14,02/25/2020,,"(34.0466, -118.2481)"
0003185822-0001-7,"ICHIGO ICHIE, INC.",,1624 N CAHUENGA BLVD,LOS ANGELES,90028-6202,1624 CAHUENGA 90028,21730   DEVONSHIRE STREET,CHATSWORTH,91311-2903,722110,Full-service restaurants,13,03/31/2018,,"(34.1007, -118.3293)"
0003188418-0001-0,K&Q SANTA MONICA LLC,,1401   OCEAN AVENUE   SUITE #104,SANTA MONICA,90401-2163,1401 OCEAN 90401,1401   OCEAN AVENUE   SUITE #104,SANTA MONICA,90401-2163,722110,Full-service restaurants,0,03/15/2020,,"(34.0141, -118.4975)"
